['Название'];['Ссылка'];['Цена в рублях']
Голубой выбеленный короткий джинсовый комбинезон Reclaimed Vintage Inspired;https://www.asos.com/ru/reclaimed-vintage/goluboj-vybelennyj-korotkij-dzhinsovyj-kombinezon-reclaimed-vintage-inspired/prd/23879349?clr=goluboj&colourwayid=60520061&cid=7618;2 990,00 руб.
Пляжный ромпер шоколадного цвета 4th & Reckless;https://www.asos.com/ru/4th-reckless/plyazhnyj-romper-shokoladnogo-tsveta-4th-reckless/prd/23311468?clr=brown-linen&colourwayid=60470326&cid=7618;3 390,00 руб.
Розовый комбинезон в клетку из органического хлопка на пуговицах с объемными рукавами Monki Samantha;https://www.asos.com/ru/monki/rozovyj-kombinezon-v-kletku-iz-organicheskogo-hlopka-na-pugovitsah-s-obemnymi-rukavami-monki-samantha/prd/23716290?clr=rozovaya-kletka&colourwayid=60506627&cid=7618;3 390,00 руб.
Синий джинсовый комбинезон из органического хлопка с карманами & Other Stories;https://www.asos.com/ru/other-stories/sinij-dzhinsovyj-kombinezon-iz-organicheskogo-hlopka-s-karmanami-other-stories/prd/23842050?clr=vybelennyj-sinij-tsvet&colourwayid=60516856&cid=7618;8 190,00 руб.
Фиолетовый короткий комбинезон Reclaimed Vintage Inspired;https://www.asos.com/ru/reclaimed-vintage/fioletovyj-korotkij-kombinezon-reclaimed-vintage-inspired/prd/23879232?clr=fioletovyj-tsvet&colourwayid=60520024&cid=7618;2 990,00 руб.
Черный свободный ромпер с V-образным вырезом и завязками на плечах ASOS DESIGN Petite;https://www.asos.com/ru/asos-petite/chernyj-svobodnyj-romper-s-v-obraznym-vyrezom-i-zavyazkami-na-plechah-asos-design-petite/prd/22989753?clr=chernyj&colourwayid=60442296&cid=7618;1 490,00 руб.
Красный ромпер с V-образным вырезом, цветочным принтом и завязками на плечах ASOS DESIGN Petite;https://www.asos.com/ru/asos-petite/krasnyj-romper-s-v-obraznym-vyrezom-tsvetochnym-printom-i-zavyazkami-na-plechah-asos-design-petite/prd/22990230?clr=krasnyj-pestryj-tsvetochnyj-print&colourwayid=60442329&cid=7618;1 490,00 руб.
Синий ромпер с корсетной вставкой Urban Bliss;https://www.asos.com/ru/urban-bliss/sinij-romper-s-korsetnoj-vstavkoj-urban-bliss/prd/23418903?clr=goluboj&colourwayid=60480981&cid=7618;3 390,00 руб.
Комбинезон с завязкой ASOS EDITION;https://www.asos.com/ru/asos-edition/kombinezon-s-zavyazkoj-asos-edition/prd/13452865?clr=belyj&colourwayid=16468458&cid=7618;9 090,00 руб.
Свадебный комбинезон с рукавами кимоно и отделкой бисером ASOS EDITION;https://www.asos.com/ru/asos-edition/svadebnyj-kombinezon-s-rukavami-kimono-i-otdelkoj-biserom-asos-edition/prd/13362782?clr=slonovaya-kost&colourwayid=16538882&cid=7618;17 290,00 руб.
